Month,Day,GameTime,Money,Energy,Hunger,Wisdom,MentalHealth

9,1,1,45,50,50,0,100
9,1,1,45,50,50,0,100

9,1,2,45,0,100,5,82
9,1,2,45,0,100,5,82
